Reference Number,Origin City ,Origin State,Origin Zip,Origin Country,Destination City,Destination State,Destination Zip,Destination Country,Pickup Date,Freight Class,Weight,Hazardous,Scac 
SBC3008115,Simi Valley,CA,93063-3448,USA,Berkeley Heights,NJ,07922,USA,9/9/2011,100,509,FALSE,
SBC3008116,Oxnard,CA,93030,USA,Kilgore,TX,75662,USA,9/9/2011,70,368,FALSE,
10Y3008136,LA PUENTE,CA,91746,USA,SOUTH KEARNY,NJ,07032,USA,9/9/2011,150,586,FALSE,
LBC3008193,Garden Grove,CA,92841,USA,Olyphant,PA,18448,USA,9/9/2011,70,425,FALSE,
BRKQ5427800,Vernon,CA,90058,USA,BUFFALO,NY,14202,USA,9/9/2011,50,1233,FALSE,
CRC3015446,CERRITOS,CA,90703,USA,MENTOR,OH,44060,USA,9/9/2011,150,500,FALSE,
BUF3016683,VALENCIA,CA,91355,USA,SPRINGFIELD GARDENS,NY,11413,USA,9/9/2011,85,130,FALSE,
LBC3004927,Santa Fe Springs,CA,90670,USA,JACKSONVILLE,FL,32205,USA,9/9/2011,85,433,FALSE,
KAS2903347,Santee,CA,92071,USA,WEIMAR,TX,78962,USA,9/9/2011,70,2984,FALSE,
KAS3007786,Pomona,CA,91768,USA,GLENWOOD CITY,WI,54013,USA,9/9/2011,85,889,FALSE,
MJC3007936,San Fernando,CA,91340,USA,San Antonio,TX,78218,USA,9/9/2011,50,1256,FALSE,
BNW2895286,Los Angeles,CA,90015,USA,Quincy,MA,02170,USA,9/9/2011,70,2335,FALSE,
LBC3003805,LONG BEACH,CA,90810,USA,BRONX,NY,10474,USA,9/9/2011,60,696,FALSE,
KAS3004057,Mira Loma,CA,91752,USA,STEELVILLE,MO,65565,USA,9/9/2011,70,1460,FALSE,
LBC3004438,CHINO,CA,91710,USA,SHELTON,CT,06484,USA,9/9/2011,70,4084,FALSE,
PSD3005157,Irwindale,CA,91010,USA,"Baltimore,",MD,21244-1850,USA,9/9/2011,70,399,FALSE,
PSD3006651,Azusa,CA,91702,USA,Birmingham,AL,35214,USA,9/9/2011,92.5,153,FALSE,
KAS3007506,San Diego,CA,92121-2449,USA,WHEELING,IL,60090,USA,9/9/2011,85,300,FALSE,
KAS3007715,Chatsworth,CA,91311,USA,Farmington Hills,MI,48331,USA,9/9/2011,60,240,FALSE,
RAV3007907,Gardena,CA,90248,USA,MARLBORO,NJ,07746,USA,9/9/2011,65,220,FALSE,
CHA3004936,NORTHRIDGE,CA,91324,USA,GARLAND,TX,75041,USA,9/9/2011,70,255,FALSE,
SSI3006328,Chino,CA,91710,USA,EAU CLAIRE,WI,54703,USA,9/9/2011,70,2177,FALSE,
KAS3004906,San Bernardino,CA,92408,USA,Hanover,PA,17331-9050,USA,9/9/2011,125,150,FALSE,
LAC3005074,SANTA ANA,CA,92704,USA,DAVENPORT,IA,52806,USA,9/9/2011,100,450,FALSE,
SBC3005164,Sylmar,CA,91342,USA,El Paso,TX,79968,USA,9/9/2011,70,119,FALSE,
SBC3005187,Sylmar,CA,91342,USA,Omaha,NE,68178,USA,9/9/2011,70,760,FALSE,
HOU3005205,City of Commerce,CA,90022,USA,GROTON,CT,06340,USA,9/9/2011,150,183,FALSE,
HUN2903554,Corona,CA,92883,USA,Suwanee,GA,30024,USA,9/9/2011,85,1042,FALSE,
LBC3007619,Compton,CA,90220,USA,Blacksburg,VA,24061,USA,9/9/2011,85,494,FALSE,
LBC3007627,Compton,CA,90220,USA,Greenfield,IN,46140,USA,9/9/2011,85,593,FALSE,
LBC3007635,Compton,CA,90220,USA,Webster,NY,14580,USA,9/9/2011,85,237,FALSE,
LBC3007645,Compton,CA,90220,USA,Tallahassee,FL,32304,USA,9/9/2011,85,474,FALSE,
PSD3006770,Baldwin Park,CA,91706,USA,Rose Hill,NC,28458,USA,9/9/2011,100,650,FALSE,
LBC3006754,Gardena,CA,90248,USA,BOCA RATON,FL,33496,USA,9/9/2011,85,429,FALSE,
SPR3006910,Los Angeles,CA,90013,USA,East Hartford,CT,06108,USA,9/9/2011,77.5,800,FALSE,
KAS3007058,Carlsbad,CA,92008,USA,SOUTH PORTLAND,ME,04106,USA,9/9/2011,100,695,FALSE,
KAS3007077,Carlsbad,CA,92008,USA,SAINT CLAIR,MO,63077,USA,9/9/2011,100,385,FALSE,
10Y3002313,Pomona,CA,91766,USA,Fort Myers,FL,33966,USA,9/9/2011,125,1146,FALSE,
KAS3005353,Anaheim,CA,92806,USA,CLARKSBURG,MD,20871,USA,9/9/2011,125,375,FALSE,
PDN3001554,Glendale,CA,91204,USA,NAPERVILLE,IL,60540,USA,9/9/2011,100,288,FALSE,
RIC3004063,Long Beach,CA,90806,USA,GRAND RAPIDS,MI,49512,USA,9/9/2011,65,953,FALSE,
RIC3004458,Long Beach,CA,90806,USA,PITTSBURGH,PA,15239,USA,9/9/2011,92.5,1114,FALSE,
SSI3006088,CHINO,CA,91710,USA,BLOOMINGDALE,IL,60108,USA,9/9/2011,50,152,FALSE,
LBC3006549,Inglewood,CA,90302,USA,CLIVE,IA,50325,USA,9/9/2011,85,1746,FALSE,
LBC3006680,Inglewood,CA,90302,USA,CARROLL,IA,51401,USA,9/9/2011,85,1080,FALSE,
RIC3007101,Long Beach,CA,90806,USA,Bemidji,MN,56601,USA,9/9/2011,70,1121,FALSE,
SSI3007131,CHATSWORTH,CA,91311,USA,Cleveland,OH,44114,USA,9/9/2011,125,776,FALSE,
SFW2904207,Westlake Village,CA,91361,USA,Omaha,NE,68118,USA,9/9/2011,55,2000,FALSE,
SBC3007387,OXNARD,CA,93030,USA,Keokuk,IA,52632,USA,9/9/2011,55,1890,FALSE,
KAS3006893,IRVINE,CA,92614-5617,USA,MIAMI,FL,33014,USA,9/9/2011,50,2113,FALSE,
KAS3007581,Yorba Linda,CA,92887,USA,WEST ORANGE,NJ,07052,USA,9/9/2011,55,1644,FALSE,
10Y3004608,Culver City,CA,90232,USA,Grand Prairie,TX,75050,USA,9/9/2011,125,315,FALSE,
PSD3004612,Montclair,CA,91763,USA,Plainsfield,IL,60586,USA,9/9/2011,100,1000,FALSE,
LBC3005227,SANTA FE SPRINGS,CA,90670,USA,HOMESTEAD,FL,33032,USA,9/9/2011,85,768,FALSE,
KAS3006492,RANCHO SANTA MARGARITA,CA,92688,USA,LISLE,IL,60532,USA,9/9/2011,150,592,FALSE,
HCG2903296,ONTARIO,CA,91761,USA,MONTGOMERY,AL,36107,USA,9/9/2011,100,1100,FALSE,
KAS3006768,San Marcos,CA,92078,USA,JACKSONVILLE,FL,32212-0016,USA,9/9/2011,85,348,FALSE,
KAS3007116,Ontario,CA,91761,USA,East Peoria,IL,61611,USA,9/9/2011,100,714,FALSE,
SBC3007602,OXNARD,CA,93030,USA,Canton,OH,44708,USA,9/9/2011,55,1465,FALSE,
KAS3007912,Ontario,CA,91761,USA,Pittsburgh,PA,15222,USA,9/9/2011,125,713,FALSE,
KAS3010087,Ontario,CA,91761,USA,SAINT PETERSBURG,FL,33714,USA,9/9/2011,150,359,FALSE,
KAS3004317,San Diego,CA,92154,USA,Miami,FL,33155,USA,9/9/2011,55,2350,FALSE,
KAS3005184,San Diego,CA,92154,USA,Orlando,FL,32808,USA,9/9/2011,55,455,FALSE,
LBC3007732,Santa Fe Springs,CA,90670,USA,CANTON,GA,30115,USA,9/9/2011,50,3376,FALSE,
KAS3007898,Ontario,CA,91761,USA,Brooklyn,NY,11230,USA,9/9/2011,150,204,FALSE,
KAS3007848,Brea,CA,92821-3106,USA,Fallston,MD,21047,USA,9/9/2011,60,660,FALSE,
CHA2997454,San Diego,CA,92101,USA,Orlando,FL,32808,USA,9/9/2011,55,3635,FALSE,
LBC3005186,Industry,CA,91744,USA,Greensboro,NC,27455,USA,9/9/2011,70,520,FALSE,
PSD3005232,CITY OF INDUSTRY,CA,91745,USA,VIRGINIA BEACH,VA,23452,USA,9/9/2011,85,200,FALSE,
KAS3005246,Chino,CA,91710,USA,Amityviller,NY,11701,USA,9/9/2011,60,2665,FALSE,
NSH3005666,WHITTIER,CA,90601,USA,PORTLAND,TN,37148,USA,9/9/2011,85,402,FALSE,
CHA3006231,Commerce,CA,90040,USA,EL PASO,TX,79901,USA,9/9/2011,65,320,FALSE,
SBC3006810,GOLETA,CA,93117,USA,HILLSBOROUGH,NJ,08844,USA,9/9/2011,85,400,FALSE,
NSH3007132,Temecula,CA,92590,USA,Chicago,IL,60622,USA,9/9/2011,70,250,FALSE,
NSH3007266,Temecula,CA,92590,USA,Decatur,AL,35601,USA,9/9/2011,70,712,FALSE,
KAS3007274,Buena Park,CA,90621,USA,HOUSTON,TX,77055,USA,9/9/2011,77.5,1670,FALSE,
KAS3007782,San Diego,CA,92154,USA,West Chester,PA,19382,USA,9/9/2011,55,370,FALSE,
KAS3007886,Santee,CA,92071-4448,USA,Milwaukee,WI,53207,USA,9/9/2011,125,1258,FALSE,
LBC3008013,City of Industry,CA,90601,USA,DALLAS,TX,75229,USA,9/9/2011,55,1424,FALSE,
KAS3007657,San Diego,CA,92154,USA,Pompano Beach,FL,33069,USA,9/9/2011,55,1100,FALSE,
KAS3007871,Industry,CA,91744,USA,MIAMI,FL,33122,USA,9/9/2011,92.5,261,FALSE,
LBC3007873,Torrance,CA,90502,USA,Omaha,NE,68137,USA,9/9/2011,55,450,FALSE,
KAS3005213,TORRANCE,CA,90502,USA,MC KEES ROCKS,PA,15136,USA,9/9/2011,70,2697,FALSE,
KAS3006211,San Clemente,CA,92672,USA,Biddesoro,ME,04005,USA,9/9/2011,92.5,198,FALSE,
KAS2903650,Poway,CA,92064,USA,GREENVILLE,SC,29615,USA,9/9/2011,92.5,1650,FALSE,
KAS3007139,San Diego,CA,92111,USA,BARRINGTON,IL,60010,USA,9/9/2011,150,400,FALSE,
MJC3007285,Carson,CA,90745,USA,McCalla,AL,35111,USA,9/9/2011,60,319,FALSE,
KAS3007505,Huntington Beach,CA,92647,USA,Austin,TX,78758,USA,9/9/2011,150,840,FALSE,
KAS3007789,Torrance,CA,90501,USA,Gouverneur,NY,13642,USA,9/9/2011,125,288,FALSE,
KAS3007833,Torrance,CA,90501,USA,Terre Haute,IN,47802,USA,9/9/2011,125,284,FALSE,
KAS3007849,Torrance,CA,90501,USA,Dayville,CT,06241,USA,9/9/2011,125,2452,FALSE,
KAS3007865,Torrance,CA,90501,USA,Hagerstown,MD,21740,USA,9/9/2011,125,4476,FALSE,
LAC3007893,SANTA FE SPRINGS,CA,90670,USA,JESSUP,MD,20794,USA,9/9/2011,60,582,FALSE,
KAS3008075,Rancho Cucamonga,CA,91730,USA,927 South Grider Street,WI,54914,USA,9/9/2011,50,1178,FALSE,
MER3004752,Bell,CA,90201,USA,penfield,NY,14526,USA,9/9/2011,92.5,230,FALSE,
MER3007541,VISTA,CA,92081,USA,Quakertown,PA,18951,USA,9/9/2011,70,1012,FALSE,
KAS3007999,Santa Ana,CA,92705,USA,Akron,OH,44301,USA,9/9/2011,70,950,FALSE,
10Y3007805,Baldwin Park,CA,91706,USA,Bedford,TX,76021,USA,9/9/2011,55,2375,FALSE,
LAS3008383,San Diego,CA,92108,USA,Indianapolis,IN,46278,USA,9/10/2011,125,450,FALSE,
KAS3004165,SAN DIEGO,CA,92101,USA,LOUISVILLE,KY,40209,USA,9/12/2011,125,1600,FALSE,
LBC3008153,Garden Grove,CA,92841,USA,ALBANY,NY,12205,USA,9/12/2011,150,300,FALSE,
SBC3012511,VENTURA,CA,93003,USA,Kennesaw,GA,30144,USA,9/12/2011,55,6350,FALSE,
SBC3009543,Carpinteria,CA,93013,USA,Laredo,TX,78045,USA,9/12/2011,65,1286,FALSE,
ULRD3011056,Rancho Cucamonga,CA,91730,USA,LAREDO,TX,78045,USA,9/12/2011,60,5055,FALSE,
SBC3011133,Camarillo,CA,93012,USA,Madison,VA,22727,USA,9/12/2011,100,280,FALSE,
MG3001744,Fullerton,CA,92833,USA,OGLESBY,IL,61348,USA,9/12/2011,60,115,FALSE,
LD3003513,Inglewood,CA,90301,USA,Dallas,TX,75234-7232,USA,9/12/2011,150,441,FALSE,
FLR3003692,BUENA PARK,CA,90620,USA,LEITCHFIELD,KY,42755,USA,9/12/2011,70,761,FALSE,
ILN3004224,La Mirada,CA,90638,USA,Neoga,IL,62447,USA,9/12/2011,150,448,FALSE,
CHA3004814,GARDENA,CA,90249,USA,Hixson,TN,37343,USA,9/12/2011,100,1100,FALSE,
MG3005677,MENIFEE,CA,92584,USA,Casselberry,FL,32707,USA,9/12/2011,70,3414,FALSE,
OAK2903579,Pomona,CA,91766,USA,Modbridge,SD,57601,USA,9/12/2011,77.5,765,FALSE,
KAS3006987,Ontario,CA,91761,USA,New Cumberland,PA,17070,USA,9/12/2011,50,2516,FALSE,
10Y3007039,Huntington Park,CA,90255,USA,Bolingbrook,IL,60440,USA,9/12/2011,150,693,FALSE,
CHA3007714,Sun Valley,CA,91352,USA,Chattanooga,TN,37408,USA,9/12/2011,60,180,FALSE,
RIC3007746,RANCHO CUCAMONGA,CA,91730,USA,ROCKVILLE,MD,20852,USA,9/12/2011,100,3130,FALSE,
MMM3007806,COMPTON,CA,90220,USA,BARRINGTON,IL,60010,USA,9/12/2011,85,4960,FALSE,
FAR3007840,Irvine,CA,92614-5510,USA,WASHINGTON,DC,20003,USA,9/12/2011,65,999,FALSE,
LBC3007850,Vernon,CA,90058,USA,HOUSTON,TX,77070,USA,9/12/2011,60,4517,FALSE,
MMM3008084,COMPTON,CA,90220,USA,Valentine,NE,69201,USA,9/12/2011,100,772,FALSE,
SGA3008433,City of Industry,CA,91748,USA,Marietta,GA,30062,USA,9/12/2011,92.5,641,FALSE,
SGA3008434,City of Industry,CA,91748,USA,Marietta,GA,30062,USA,9/12/2011,92.5,400,FALSE,
SGA3008435,Torrance,CA,90503,USA,Marietta,GA,30062,USA,9/12/2011,92.5,400,FALSE,
KAS3008513,Apple Valley,CA,92307,USA,Newark,DE,19711,USA,9/12/2011,100,800,FALSE,
KAS3008850,Inglewood,CA,90301,USA,Worthington,OH,43085,USA,9/12/2011,60,570,FALSE,
AEA2905410,Rancho Cucamonga,CA,91730,USA,Jacksonville,FL,32254,USA,9/12/2011,125,1444,FALSE,
10Y3008979,Santa Fe Springs,CA,90670,USA,Chesterfield,MO,63005,USA,9/12/2011,60,3987,FALSE,
NSH3009008,LA PUENTE,CA,91744,USA,MIAMI,FL,33166,USA,9/12/2011,55,104,FALSE,
SBC3009065,MOORPARK,CA,93021,USA,WESTLAKE,OH,44145,USA,9/12/2011,150,236,FALSE,
AEA2905666,Temple City,CA,91780,USA,North Mankato,MN,56003,USA,9/12/2011,100,317,FALSE,
MMM3009131,Cuba,CA,92627,USA,TAYLOR,MI,48180,USA,9/12/2011,70,249,FALSE,
LBC3009180,Anaheim,CA,92806,USA,SAN MARCOS,TX,78666,USA,9/12/2011,65,670,FALSE,
FAR3009226,Whittier,CA,90606,USA,Eagan,MN,55121,USA,9/12/2011,92.5,148,FALSE,
SEA3009317,Rancho Dominguez,CA,90220,USA,SAVANNAH,GA,31405,USA,9/12/2011,100,2114,FALSE,
AKS3009343,Hawthorne,CA,90250,USA,Hanover Park,IL,60133,USA,9/12/2011,70,526,FALSE,
KAS3009370,South El Monte,CA,91733,USA,ALTON,IL,62002,USA,9/12/2011,70,1180,FALSE,
SEA3009375,Rancho Dominguez,CA,90220,USA,DOVER,DE,19904,USA,9/12/2011,100,1390,FALSE,
ULRD3009517,SANTA FE SPRINGS,CA,90670,USA,Laredo,TX,78045,USA,9/12/2011,77.5,267,FALSE,
CAN2906165,CARSON,CA,90745,USA,Celina,OH,45822,USA,9/12/2011,55,394,FALSE,
AEA2906211,Carson,CA,90746,USA,North Mankato,MN,56003,USA,9/12/2011,125,1048,FALSE,
HOU3009655,RED LANDS,CA,92373,USA,Houston,TX,77099,USA,9/12/2011,60,595,FALSE,
RAV3009665,ONTARIO,CA,91761,USA,St. Louis,MO,63120,USA,9/12/2011,250,165,FALSE,
ALL3009666,SANTA FE SPRINGS,CA,90670,USA,EMMAUS,PA,18049,USA,9/12/2011,60,235,FALSE,
LBC3009706,Anaheim,CA,92806,USA,BROOKLYN,NY,11232,USA,9/12/2011,65,415,FALSE,
ILS3009713,Riverside,CA,92518,USA,Richardson,TX,75081,USA,9/12/2011,60,2360,FALSE,
MER3009717,Wilmington,CA,90744,USA,DENTON,TX,76205,USA,9/12/2011,85,120,FALSE,
PDN3009731,Pasadena,CA,91105,USA,Chesapeake,VA,23324,USA,9/12/2011,150,200,FALSE,
SAC3009753,Rancho Cucamonga,CA,91730,USA,POMPANO BEACH,FL,33069,USA,9/12/2011,70,310,FALSE,
LBC3009820,Commerce,CA,90040,USA,Sumter,SC,29150,USA,9/12/2011,100,525,FALSE,
LBC3009837,Commerce,CA,90040,USA,Florence,SC,29501,USA,9/12/2011,100,525,FALSE,
PSD3009866,MONROVIA,CA,91016,USA,MIAMI,FL,33186,USA,9/12/2011,60,630,FALSE,
MKE3009887,Riverside,CA,92507,USA,AMITYVILLE,NY,11701,USA,9/12/2011,85,3000,FALSE,
LBC3009896,Commerce,CA,90040,USA,Knightsdale,NC,27545,USA,9/12/2011,100,1075,FALSE,
PSD3009899,MONROVIA,CA,91016,USA,SWEDESBORO,NJ,08085,USA,9/12/2011,60,815,FALSE,
ILS3009908,Long Beach,CA,90810,USA,Petersburg,IL,62675,USA,9/12/2011,77.5,820,FALSE,
LBC3009934,Commerce,CA,90040,USA,Wilmington,NC,28403,USA,9/12/2011,100,1570,FALSE,
LBC3009947,Commerce,CA,90040,USA,Cary,NC,27511,USA,9/12/2011,100,1600,FALSE,
LBC3009977,Commerce,CA,90040,USA,Greensboro,NC,27406,USA,9/12/2011,100,525,FALSE,
KAS3009984,Redlands,CA,92373,USA,WEST ALLIS,WI,53214,USA,9/12/2011,55,1366,FALSE,
LAC3009989,CARSON,CA,90745,USA,NORTH CANTON,OH,44720,USA,9/12/2011,150,4530,FALSE,
ILS3009997,Costa Mesa,CA,92627,USA,Peoria,IL,61614,USA,9/12/2011,65,411,FALSE,
LBC3010000,Commerce,CA,90040,USA,Ashville,NC,28806,USA,9/12/2011,100,2675,FALSE,
LBC3010013,Commerce,CA,90040,USA,Raleigh,NC,27609,USA,9/12/2011,100,2495,FALSE,
LAS3010037,Lake Elsinore,CA,92530,USA,GRAND RAPIDS,MI,49548,USA,9/12/2011,55,724,FALSE,
SBC3010076,MOORPARK,CA,93021,USA,TIFTON,GA,31794,USA,9/12/2011,92.5,456,FALSE,
LAC3010114,VAN NUYS,CA,91406,USA,GRAND PRAIRIE,TX,75052,USA,9/12/2011,70,216,FALSE,
KAS3010117,Walnut,CA,91789,USA,Phoenixville,PA,19460,USA,9/12/2011,60,440,FALSE,
KAS3010162,Chino,CA,91710,USA,Chicago,IL,60609,USA,9/12/2011,85,3536,FALSE,
10Y3010165,Vernon,CA,90058,USA,Rock Island,IL,61201,USA,9/12/2011,77.5,360,FALSE,
10Y3010183,LOS ANGELES,CA,90040,USA,Bettendorf,IA,52722,USA,9/12/2011,125,1225,FALSE,
FAR3010212,ONTARIO,CA,91761,USA,LINCOLN,NE,68528,USA,9/12/2011,77.5,680,FALSE,
MIN3010213,Ontario,CA,91761,USA,Chattanooga,TN,37416,USA,9/12/2011,70,4440,FALSE,
KAS3010231,City of Industry,CA,91748,USA,SAN ANTONIO,TX,78216,USA,9/12/2011,85,3420,FALSE,
KAS3010247,GARDENA,CA,90248,USA,COPPERAS COVE,TX,76522,USA,9/12/2011,60,1200,FALSE,
LD3010256,LOS ANGELES,CA,90021,USA,Garland,TX,75042,USA,9/12/2011,70,118,FALSE,
KAS3010290,Vista,CA,92081,USA,Philadelphia,PA,19137,USA,9/12/2011,100,437,FALSE,
KAS3010295,Ontario,CA,91761,USA,Butler,WI,53007,USA,9/12/2011,70,820,FALSE,
PSD3010319,South Gate,CA,90280,USA,Dripping Springs,TX,78620,USA,9/12/2011,85,353,FALSE,
MIN3010322,Azusa,CA,91702,USA,CARMI,IL,62821,USA,9/12/2011,70,934,FALSE,
SBC3010323,Carpinteria,CA,93013,USA,Dayton,NJ,08810,USA,9/12/2011,60,6480,FALSE,
MG3010339,Carson,CA,90746,USA,Fort Lauderdale,FL,33316,USA,9/12/2011,55,2500,FALSE,
MG3010365,Carson,CA,90746,USA,Fort Lauderdale,FL,33316,USA,9/12/2011,70,3032,FALSE,
KAS3010387,Vista,CA,92081,USA,Charlotte,NC,28269,USA,9/12/2011,100,735,FALSE,
PSD3010394,Arcadia,CA,91006,USA,Dearborn,MI,48128,USA,9/12/2011,150,1200,FALSE,
KAS3010421,North Hollywood,CA,91605,USA,Mahwah,NJ,07430,USA,9/12/2011,150,199,FALSE,
SBC3010465,AGOURA HILLS,CA,91301,USA,MOBILE,AL,36602,USA,9/12/2011,65,700,FALSE,
LBC3010505,Gardena,CA,90249,USA,MILWAUKEE,WI,53207,USA,9/12/2011,150,153,FALSE,
LBC3010539,Gardena,CA,90249,USA,ORLANDO,FL,32811,USA,9/12/2011,150,147,FALSE,
KAS3010572,El Cajon,CA,92020,USA,BRISTOL,CT,06010,USA,9/12/2011,70,792,FALSE,
PSD3010573,El Monte,CA,91731,USA,Reston,VA,20194,USA,9/12/2011,92.5,410,FALSE,
LD3010583,GARDENA,CA,90249,USA,Arlington,TX,76006,USA,9/12/2011,50,246,FALSE,
FAR3010585,LOS ANGELES,CA,90021,USA,Coon Rapids,MN,55448,USA,9/12/2011,92.5,430,FALSE,
LAC3010597,Gardena,CA,90248,USA,RED WING,MN,55066,USA,9/12/2011,100,2760,FALSE,
PSD3010599,El Monte,CA,91731,USA,Rockville,MD,20853,USA,9/12/2011,92.5,350,FALSE,
LBC3010619,Signal Hill,CA,90755,USA,Irving,TX,75038,USA,9/12/2011,77.5,385,FALSE,
LAC3010621,BEVERLY HILLS,CA,90210,USA,STAMFORD,CT,06902,USA,9/12/2011,200,250,FALSE,
ROS2907364,CA,CA,91765,USA,El Paso,TX,79925,USA,9/12/2011,60,343,FALSE,
KAS3010639,Fullerton,CA,92831,USA,CLEVELAND,OH,44127,USA,9/12/2011,50,943,FALSE,
GRR3010649,Valencia,CA,91355,USA,Nashville,TN,37210,USA,9/12/2011,70,890,FALSE,
DEN3010657,SANTA FE SPRING,CA,90670,USA,Pineville,NC,28134,USA,9/12/2011,100,310,FALSE,
SBC3010672,West Lake Village,CA,91361,USA,PANAMA CITY,FL,32409,USA,9/12/2011,200,496,FALSE,
CRC3010687,Chino,CA,91708,USA,TRENTON,SC,29847,USA,9/12/2011,150,154,FALSE,
10Y3010731,Fontana,CA,92337,USA,Bolingbrook,IL,60440,USA,9/12/2011,125,687,FALSE,
AEA2907505,REDONDO BEACH,CA,90278,USA,Roanoke,AL,36274,USA,9/12/2011,150,600,FALSE,
AEA2907516,REDONDO BEACH,CA,90278,USA,Roanoke,AL,36274,USA,9/12/2011,150,600,FALSE,
AEA2907522,REDONDO BEACH,CA,90278,USA,Roanoke,AL,36274,USA,9/12/2011,150,700,FALSE,
AEA2907529,REDONDO BEACH,CA,90278,USA,Roanoke,AL,36274,USA,9/12/2011,150,800,FALSE,
SFWQ5411531,NORTH HOLLYWOOD,CA,91601,USA,CHICAGO,IL,60623,USA,9/12/2011,85,427,FALSE,
FAR3010794,SANTA ANA,CA,92704,USA,Monticello,MN,55362,USA,9/12/2011,60,281,FALSE,
KAS3010815,Placentia,CA,92870,USA,New Haven,IN,46774,USA,9/12/2011,70,250,FALSE,
WES3010846,Industry,CA,90601,USA,Hickory,NC,28602,USA,9/12/2011,92.5,348,FALSE,
ELZ3010855,Los Angeles,CA,90013,USA,Cleveland,OH,44102,USA,9/12/2011,85,936,FALSE,
ILS3010869,Riverside,CA,92518,USA,Plano,TX,75074,USA,9/12/2011,55,2333,FALSE,
CHA3010886,Vernon,CA,90058,USA,Chattanooga,TN,37421,USA,9/12/2011,100,1423,FALSE,
KAS3010911,Walnut,CA,91789,USA,Carrollton,TX,75007,USA,9/12/2011,60,440,FALSE,
AMC3010912,Fontana,CA,92335,USA,Sandy Springs,GA,30350,USA,9/12/2011,85,3438,FALSE,
IAW3010927,Commerce,CA,90040,USA,Trout Run,PA,17771,USA,9/12/2011,85,280,FALSE,
PSD3010935,Arcadia,CA,91006,USA,Donna,TX,78537,USA,9/12/2011,85,1000,FALSE,
FAR3010939,RANCHO CUCAMONGA,CA,91730,USA,St. Paul,MN,55110-3389,USA,9/12/2011,100,513,FALSE,
KAS3010947,Santa Ana,CA,92704-5316,USA,Long Island City,NY,11101,USA,9/12/2011,100,137,FALSE,
KAS3010993,Chino,CA,91710,USA,LENEXA,KS,66215,USA,9/12/2011,55,300,FALSE,
JNWQ5433990,Irvine,CA,92614,USA,Kearny,NJ,07032,USA,9/12/2011,60,575,FALSE,
LBC3011039,Torrance,CA,90503,USA,Scranton,PA,18507,USA,9/12/2011,92.5,240,FALSE,
RIC3011060,RIVERSIDE,CA,92503,USA,Kelargo,FL,33037,USA,9/12/2011,85,1270,FALSE,
PSD3011069,Arcadia,CA,91006,USA,Red Bay,AL,35582,USA,9/12/2011,60,580,FALSE,
LBC3011070,Riverside,CA,92507,USA,Pharr,TX,78577,USA,9/12/2011,60,5700,FALSE,
ILS3011076,Riverside,CA,92518,USA,GAITHERSBURG,MD,20877,USA,9/12/2011,70,320,FALSE,
SGA3011079,Los Angeles,CA,90039,USA,Robinson,IL,62454,USA,9/12/2011,100,300,FALSE,
KAS3011081,FONTANA,CA,92337,USA,GRAND RAPIDS,MI,49504,USA,9/12/2011,100,500,FALSE,
KAS3011100,City of Industry,CA,91745,USA,Bloomington,IL,61704,USA,9/12/2011,100,858,FALSE,
KAS3011102,Inglewood,CA,90301,USA,Morton,IL,61550,USA,9/12/2011,60,1450,FALSE,
KAS3011104,Fontana,CA,92336,USA,Philadelphia,PA,19116,USA,9/12/2011,100,1725,FALSE,
SFWQ5434182,Valencia,CA,91355,USA,MASPETH,NY,11378,USA,9/12/2011,85,2223,FALSE,
KAS3011113,FONTANA,CA,92337,USA,MARION,IA,52302,USA,9/12/2011,100,850,FALSE,
FVD3011119,RANCHO CUCAMONGA,CA,91730,USA,PHILADELPHIA,PA,19148,USA,9/12/2011,50,810,FALSE,
PSD3011125,Arcadia,CA,91006,USA,Tomball,TX,77377,USA,9/12/2011,150,1200,FALSE,
FVD3011126,RANCHO CUCAMONGA,CA,91730,USA,SEELYVILLE,IN,47878,USA,9/12/2011,50,2550,FALSE,
KAS3011129,San Diego,CA,92121,USA,LAREDO,TX,78045,USA,9/12/2011,50,2902,FALSE,
LAC3011130,COMMERCE,CA,90023,USA,JANESVILLE,WI,53545,USA,9/12/2011,125,440,FALSE,
RIC3011132,SANTA FE SPRINGS,CA,90670,USA,Lehigh Acres,FL,33971,USA,9/12/2011,100,100,FALSE,
ILS3011138,Riverside,CA,92518,USA,Sebring,FL,33870,USA,9/12/2011,55,496,FALSE,
LBC3011146,Riverside,CA,92507,USA,Houston,TX,77020,USA,9/12/2011,60,1150,FALSE,
KAS3011172,Westminster,CA,92683,USA,SAINT PAUL,MN,55105,USA,9/12/2011,85,930,FALSE,
LAC3011183,LA MIRADA,CA,90638,USA,SCHAUMBURG,IL,60173,USA,9/12/2011,250,1500,FALSE,
TAC3011186,City of Industry,CA,91746,USA,OMAHA,NE,68127,USA,9/12/2011,77.5,1064,FALSE,
KAS3011231,Sun Valley,CA,91352,USA,Deerfield Beach,FL,33442,USA,9/12/2011,50,3020,FALSE,
OAK2908039,LOS ANGELES,CA,90045,USA,WEST CHESTER,OH,45069,USA,9/12/2011,150,970,FALSE,
BRK2908103,Gardena,CA,90248,USA,BIRMINGHAM,AL,35211,USA,9/12/2011,70,440,FALSE,
